# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Date:	Fri Aug 01 15:29:56 EEST 2014
Model	MSE	Average	Deviation	R
MLPerceptron			1865.72463	43.19403	30.18589	0.83717
IsoRegression			12849.97580	113.35773	81.60314	-0.12146
BagClassify			15238.11953	123.44278	104.01307	-0.32989
GaussianCurves			5556.15721	74.53964	65.74275	0.51509
Discretization			13746.32190	117.24471	97.87244	-0.19969
RandomSubSpaces			11575.98672	107.59176	89.95320	-0.01028
LeastSquares			9045.13765	95.10593	50.06100	0.21060
RBF			19101.03992	138.20651	113.26079	-0.66702
LinearRegression			10149.21384	100.74331	76.59018	0.11424
# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Date:	Fri Aug 01 15:29:57 EEST 2014
Model	MSE	Average	Deviation	R
MLPerceptron			4758.71658	68.98345	50.05835	0.58469
IsoRegression			11960.78859	109.36539	86.47374	-0.04386
BagClassify			11207.41893	105.86510	89.91054	0.02189
GaussianCurves			7111.52557	84.32986	67.65384	0.37935
Discretization			8056.32547	89.75704	71.12709	0.29689
RandomSubSpaces			11683.29457	108.08929	89.95855	-0.01964
LeastSquares			5639.08944	75.09387	55.78258	0.50786
RBF			14744.10208	121.42529	101.97812	-0.28677
LinearRegression			10520.73456	102.57063	76.89362	0.08182
# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Date:	Fri Aug 01 15:29:57 EEST 2014
Model	MSE	Average	Deviation	R
MLPerceptron			1794.08099	42.35659	25.99996	0.84342
IsoRegression			9987.75544	99.93876	67.26196	0.12833
BagClassify			10280.09134	101.39079	72.23159	0.10282
GaussianCurves			5282.74759	72.68251	46.04126	0.53896
Discretization			8483.78854	92.10748	60.25297	0.25959
RandomSubSpaces			10772.40650	103.79020	74.91448	0.05985
LeastSquares			6225.92182	78.90451	43.96607	0.45664
RBF			8674.43876	93.13667	62.91008	0.24295
LinearRegression			9617.31250	98.06790	73.84314	0.16066
