# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Date:	Fri Aug 01 15:30:01 EEST 2014
Model	MSE	Average	Deviation	R
Discretization			9214.94738	95.99452	77.08272	0.19578
LinearRegression			9433.21738	97.12475	71.69553	0.17673
MLPerceptron			4162.48760	64.51734	55.20365	0.63672
LeastSquares			8566.64020	92.55615	48.68448	0.25236
RBF			9905.01154	99.52392	72.68921	0.13555
IsoRegression			11940.77557	109.27386	78.69367	-0.04212
BagClassify			8859.98205	94.12748	74.82474	0.22676
RandomSubSpaces			11072.07699	105.22394	89.83797	0.03370
GaussianCurves			4248.12304	65.17763	53.60055	0.62925
# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Date:	Fri Aug 01 15:30:02 EEST 2014
Model	MSE	Average	Deviation	R
Discretization			13556.47886	116.43229	72.60610	-0.18312
LinearRegression			9747.76435	98.73077	59.40153	0.14928
MLPerceptron			3936.56298	62.74204	32.25375	0.65644
LeastSquares			6862.55874	82.84056	44.03190	0.40108
RBF			13447.67628	115.96412	71.75883	-0.17363
IsoRegression			10028.28627	100.14133	61.54087	0.12479
BagClassify			10226.12398	101.12430	59.60080	0.10753
RandomSubSpaces			11371.31408	106.63636	63.29793	0.00758
GaussianCurves			9372.02837	96.80924	52.53332	0.18207
# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Date:	Fri Aug 01 15:30:02 EEST 2014
Model	MSE	Average	Deviation	R
Discretization			7886.63202	88.80671	57.56389	0.31170
LinearRegression			8623.21342	92.86126	58.88267	0.24742
MLPerceptron			3689.21207	60.73888	32.28424	0.67803
LeastSquares			6362.97760	79.76827	45.07525	0.44468
RBF			6237.60710	78.97852	48.98233	0.45562
IsoRegression			9633.47365	98.15026	60.79581	0.15925
BagClassify			6072.24625	77.92462	48.19798	0.47005
RandomSubSpaces			9255.09686	96.20341	61.33819	0.19227
GaussianCurves			5731.18333	75.70458	41.29680	0.49982
