# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Date:	Wed Jul 30 23:05:58 EEST 2014
Model			MSE	Average	Deviation
RBF			1553.91222	39.41969	28.50421
LinearRegression			1229.62800	35.06605	23.21631
MLPerceptron			616.17903	24.82295	17.74070
LeastSquares			1056.18753	32.49904	19.51602
Discretization			740.32520	27.20892	16.10387
RandomSubSpaces			986.06343	31.40165	20.09257
IsoRegression			1060.32126	32.56257	20.85585
GaussianCurves			799.39126	28.27351	16.80329
BagClassify			768.74125	27.72618	17.05739
# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Date:	Wed Jul 30 23:05:59 EEST 2014
Model			MSE	Average	Deviation
RBF			1766.16233	42.02573	28.84919
LinearRegression			1299.73322	36.05181	23.18313
MLPerceptron			693.24297	26.32951	18.36283
LeastSquares			1023.52186	31.99253	19.38538
Discretization			871.99045	29.52948	19.09880
RandomSubSpaces			1164.17427	34.12000	21.97057
IsoRegression			1142.75495	33.80466	21.48486
GaussianCurves			947.60430	30.78318	19.17185
BagClassify			979.39967	31.29536	20.03461
# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Date:	Wed Jul 30 23:06:00 EEST 2014
Model			MSE	Average	Deviation
RBF			1434.58032	37.87585	29.59390
LinearRegression			1366.85188	36.97096	29.05047
MLPerceptron			901.84493	30.03073	20.67987
LeastSquares			973.80482	31.20585	19.04179
Discretization			728.31966	26.98740	17.91887
RandomSubSpaces			1144.87060	33.83594	23.89200
IsoRegression			1273.68826	35.68877	26.97756
GaussianCurves			623.54237	24.97083	14.97211
BagClassify			893.94686	29.89894	22.05044
